country,happiness,attribute,value,scale,scale_gdp,scale_life,scale_generosity
Afghanistan,3.203,log_gdp,7.440942374181819,0,6.59850192075,43.356001282,-0.28551546563636365
Afghanistan,3.203,life_exp,52.25454538454545,1,6.59850192075,43.356001282,-0.28551546563636365
Afghanistan,3.203,generosity,0.09598050081818181,2,6.59850192075,43.356001282,-0.28551546563636365
Albania,4.719,log_gdp,9.262285926,0,6.613027036,45.10545453090909,-0.2598656953846154
Albania,4.719,life_exp,67.25454503818182,1,6.613027036,45.10545453090909,-0.2598656953846154
Albania,4.719,generosity,-0.0929075660909091,2,6.613027036,45.10545453090909,-0.2598656953846154
Algeria,5.211,log_gdp,9.5036680222,0,6.6287601471999995,45.700000175384616,-0.2550428853076923
Algeria,5.211,life_exp,65.116000366,1,6.6287601471999995,45.700000175384616,-0.2550428853076923
Algeria,5.211,generosity,-0.1986555964,2,6.6287601471999995,45.700000175384616,-0.2550428853076923
Argentina,6.086,log_gdp,9.825670829,0,6.6604643822,46.54666646333333,-0.2286419466923077
Argentina,6.086,life_exp,67.71538485,1,6.6604643822,46.54666646333333,-0.2286419466923077
Argentina,6.086,generosity,-0.15491403476923077,2,6.6604643822,46.54666646333333,-0.2286419466923077
Armenia,4.559,log_gdp,8.925997073769231,0,6.746906390538461,46.99090923,-0.22269055425
Armenia,4.559,life_exp,65.63076899615385,1,6.746906390538461,46.99090923,-0.22269055425
Armenia,4.559,generosity,-0.1882672366153846,2,6.746906390538461,46.99090923,-0.22269055425
Australia,7.228,log_gdp,10.668708021818182,0,6.8715782847142854,47.04909064545455,-0.21454466875
Australia,7.228,life_exp,72.56363608545455,1,6.8715782847142854,47.04909064545455,-0.21454466875
Australia,7.228,generosity,0.28543876927272727,2,6.8715782847142854,47.04909064545455,-0.21454466875
Austria,7.246,log_gdp,10.700700760909092,0,6.937991012272727,47.811428615714284,-0.1992921532
Austria,7.246,life_exp,71.85818204090909,1,6.937991012272727,47.811428615714284,-0.1992921532
Austria,7.246,generosity,0.14587532727272728,2,6.937991012272727,47.811428615714284,-0.1992921532
Azerbaijan,5.208,log_gdp,9.630238092923078,0,7.182592094,49.06000028142857,-0.1986555964
Azerbaijan,5.208,life_exp,63.80000011846154,1,7.182592094,49.06000028142857,-0.1986555964
Azerbaijan,5.208,generosity,-0.18611540238461538,2,7.182592094,49.06000028142857,-0.1986555964
Bahrain,6.199,log_gdp,10.645951111666667,0,7.183623270545454,49.14615396307693,-0.1957828578181818
Bahrain,6.199,life_exp,67.18666712333334,1,7.183623270545454,49.14615396307693,-0.1957828578181818
Bahrain,6.199,generosity,0.045612223333333334,2,7.183623270545454,49.14615396307693,-0.1957828578181818
Bangladesh,4.456,log_gdp,7.9088745483076925,0,7.2476871491,49.188333192500004,-0.19176336058333332
Bangladesh,4.456,life_exp,61.57692307769231,1,7.2476871491,49.188333192500004,-0.19176336058333332
Bangladesh,4.456,generosity,-0.027718024307692306,2,7.2476871491,49.188333192500004,-0.19176336058333332
Belarus,5.323,log_gdp,9.69012194423077,0,7.2566669462,49.26923076923077,-0.18948070641666667
Belarus,5.323,life_exp,63.54615402230769,1,7.2566669462,49.26923076923077,-0.18948070641666667
Belarus,5.323,generosity,-0.17517723084615386,2,7.2566669462,49.26923076923077,-0.18948070641666667
Belgium,6.923,log_gdp,10.63772218909091,0,7.323557376714286,50.21333312666667,-0.18883585308333334
Belgium,6.923,life_exp,71.15454656454546,1,7.323557376714286,50.21333312666667,-0.18883585308333334
Belgium,6.923,generosity,-0.004203475818181817,2,7.323557376714286,50.21333312666667,-0.18883585308333334
Benin,4.883,log_gdp,7.5686161041,0,7.325637141916666,50.24615361153846,-0.1882672366153846
Benin,4.883,life_exp,52.539999771,1,7.325637141916666,50.24615361153846,-0.1882672366153846
Benin,4.883,generosity,-0.0376073401,2,7.325637141916666,50.24615361153846,-0.1882672366153846
Bhutan,5.082,log_gdp,8.907667795666667,0,7.353104151153846,50.7300004975,-0.18611540238461538
Bhutan,5.082,life_exp,59.90000025333333,1,7.353104151153846,50.7300004975,-0.18611540238461538
Bhutan,5.082,generosity,0.3084997036666667,2,7.353104151153846,50.7300004975,-0.18611540238461538
Bolivia,5.779,log_gdp,8.674751134923078,0,7.353572845,50.916000368,-0.17517723084615386
Bolivia,5.779,life_exp,61.53846153846154,1,7.353572845,50.916000368,-0.17517723084615386
Bolivia,5.779,generosity,-0.043032605,2,7.353572845,50.916000368,-0.17517723084615386
Bosnia and Herzegovina,5.386,log_gdp,9.253979682818182,0,7.3697682855,50.98333327,-0.17051287
Bosnia and Herzegovina,5.386,life_exp,66.89272724545455,1,7.3697682855,50.98333327,-0.17051287
Bosnia and Herzegovina,5.386,generosity,0.03387176272727272,2,7.3697682855,50.98333327,-0.17051287
Botswana,3.488,log_gdp,9.593870076181819,0,7.383703405090909,51.35500001875,-0.16955356772727273
Botswana,3.488,life_exp,54.580000444545455,1,7.383703405090909,51.35500001875,-0.16955356772727273
Botswana,3.488,generosity,-0.1957828578181818,2,7.383703405090909,51.35500001875,-0.16955356772727273
Brazil,6.3,log_gdp,9.571877913090908,0,7.427388081230769,51.65000009625,-0.167586939
Brazil,6.3,life_exp,65.14000008454545,1,7.427388081230769,51.65000009625,-0.167586939
Brazil,6.3,generosity,-0.09102076645454546,2,7.427388081230769,51.65000009625,-0.167586939
Bulgaria,5.011,log_gdp,9.7148798942,0,7.440942374181819,51.72307704153846,-0.16695534274999999
Bulgaria,5.011,life_exp,66.059999847,1,7.440942374181819,51.72307704153846,-0.16695534274999999
Bulgaria,5.011,generosity,-0.1650049168,2,7.440942374181819,51.72307704153846,-0.16695534274999999
Burkina Faso,4.587,log_gdp,7.325637141916666,0,7.487881183333333,52.25454538454545,-0.1650049168
Burkina Faso,4.587,life_exp,50.7300004975,1,7.487881183333333,52.25454538454545,-0.1650049168
Burkina Faso,4.587,generosity,-0.027501131833333334,2,7.487881183333333,52.25454538454545,-0.1650049168
Burundi,3.775,log_gdp,6.6287601471999995,0,7.497419834125,52.42307662923077,-0.1564087142727273
Burundi,3.775,life_exp,50.916000368,1,7.497419834125,52.42307662923077,-0.1564087142727273
